manufacturer_name,model_name,production_start_date,production_end_date,recall_start_date,affected_count,recall_reason,vehicle_type
혼다코리아,ODYSSEY,2006-07-18,2009-09-08,2013-11-20,1,"차량안정보조장치(VSA) 이상으로 제동을 하지 않아도 제동이 되며, 이경우 브레이크 등이 점등되지 않을 가능성이 있어 안전운행에 지장",MPV/미니밴
메르세데스 벤츠,GLK220 CDI 4MATIC,2014-02-28,2014-11-10,2014-12-29,910,특정기간에 제작된 타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 주어 체인텐셔너 가스켓의 엔진 오일 실링 기능이 저하될 뿐만 아니라 체인 텐셔너가 풀릴수 도 있음,SUV
메르세데스 벤츠,GLK220 CDI 4Matic,2014-10-01,2015-02-12,2015-04-27,45,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,SUV
르노코리아,QM3,2013-09-11,2014-11-07,2015-05-04,20949,전방 휀더 프로텍터와 브레이크 호스간의 간섭으로 인해 브레이크 호스와 휀더 프로텍터와의 마찰에 따른 마모 발생 우려,SUV
토요타,토요타 RAV4 2WD,2009-09-01,2012-11-08,2016-04-07,416,뒷좌석 쿠션부 금속 프레임의 형태가 부적절하여 충돌 시 프레임과 좌석안전띠의 간섭으로 좌석안전띠가 절단될 경우 승객을 보호하지 못할 가능성 발견,SUV
토요타,토요타 RAV4 4WD,2009-02-27,2012-11-14,2016-04-07,1242,뒷좌석 쿠션부 금속 프레임의 형태가 부적절하여 충돌 시 프레임과 좌석안전띠의 간섭으로 좌석안전띠가 절단될 경우 승객을 보호하지 못할 가능성 발견,SUV
메르세데스 벤츠,ML 350 BLUETEC 4MATIC,2015-04-27,2015-05-19,2016-07-08,6,뒷좌석 우측 좌석안전띠 고정체의 볼트조립불량으로 충돌 시 승객을 보호하지 못할 가능성,SUV
현대자동차,싼타페,2015-05-27,2015-06-05,2016-10-21,66,승객감지장치 제어 유닛 설정 오류로 충돌시 동승자석의 에어백이 미전개될 가능성,SUV
혼다코리아,ODYSSEY,2012-05-29,2015-09-09,2017-02-06,1172,2열 좌석(슬리이드형)을 고정하는 부품의 제작결함으로 주행 중 좌석이 움직여 탑승자에게 상해를 입힐 가능성,MPV/미니밴
기아,모하비,2012-08-27,2014-12-02,2017-06-12,19801,허브너트*의 결함으로 타이어가 이탈될 가능성 * 허브너트 : 자동차 차축과 타이어를 연결해 주는 부품,SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2017-03-09,2017-06-06,2018-02-23,5,"스티어링 칼럼 모듈의 접지가 불충분한 상태에서, 손상된 클락스프링에 정전기 방전이 발생될 경우 예기치 않은 운전자 에어백 전개가 발생할 수 있습니다.",SUV
혼다코리아,ODYSSEY,2013-11-07,2015-06-05,2018-05-31,703,"시트 등받이를 고정하는 장치(리클라이너) 내부의 제작결함으로, ""워크인 레버(3열로 진입하기 위한 레버)""를 사용하여 등받이를 조정하는 경우, 시트 등받이가 불안정한 상태로 고정되거나 고정되지 않을 수 있음.",MPV/미니밴
메르세데스 벤츠,GLK 220 CDI 4MATIC,2012-03-19,2014-05-21,2018-06-29,4,"스티어링 칼럼 모듈의 접지가 불충분한 상태에서, 손상된 클락스프링에 정전기가 발생될 경우 예기치 않은 운전자 에어백 전개가 발생할 수 있습니다.",SUV
BMW,BMW X5 xDrive30d,2018-06-11,2018-06-11,2018-07-19,1,앞 좌측 하부 위시본의 제작 과정에서 열처리 후 냉각 공정을 정상적으로 거치지 않아 설계된 값보다 강성이 낮은 상태로 생산되었을 가능성이 있습니다.,SUV
혼다코리아,ODYSSEY,2012-10-02,2016-08-08,2018-08-09,1533,"2열 시트를 분리 후 재 장착하는 경우, 뒤쪽 시트 고정장치가 차체 고정부의 잘못된 위치(돌출부)에 장착될 수 있으며 시트가 정확하게 고정되지 않을 수 있음",MPV/미니밴
BMW,BMW X5 xDrive40d,2014-01-11,2015-06-18,2018-08-20,403,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",SUV
BMW,BMW X5 xDrive30d,2013-07-20,2015-06-17,2018-08-20,2615,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2018-01-24,2018-01-30,2018-09-17,7,에어백 공급업체의 생산공정의 오류로 특정 그룹에서 결함이 있는 에어백이 장착 되었습니다. 운전석 에어백 모듈의 인플레이터 하우징 재료에 결함이 있는 스틸 사용으로 내구성이 저하될 수 있습니다.,SUV
KG 모빌리티,티볼리,2015-07-01,2018-08-17,2018-09-21,65886,연료 필터에서 고압펌프로 연결되는 연료 공급호스가 흡입공기 유량 센서 와이어링 및 홀더와 간섭되어 장기간 차량 운행시 마모로 인해 연료가 누유 될 가능성 존재,SUV
기아,니로 하이브리드,2016-03-10,2017-08-14,2018-10-10,29991,일부 차량 장시간 운행 후 파워릴레이 어셈블리에 장착된 메인릴레이 단자고정부 접촉압력 저하에 의한 발열 발생 가능성,SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2018-02-26,2018-04-06,2018-10-26,60,특정 대상 차량의 헤드램프의 LED 방향지시등의 색상이 연분홍색 또는 보라색일 수 있습니다.,SUV
BMW,BMW X5 xDrive30d,2015-06-10,2017-05-16,2018-11-26,3455,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출 될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다.",SUV
BMW,BMW X5 xDrive40d,2015-06-17,2017-05-15,2018-11-26,815,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출 될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다.",SUV
BMW,BMW X5 M50d,2013-07-18,2017-03-20,2018-11-26,509,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출 될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다.",SUV
혼다코리아,ODYSSEY,2017-06-19,2018-03-08,2018-11-29,669,리어 래치의 내부 기어 설계가 잘못되어 고착되는 경우 리어 래치가 열린 상태로 유지된다.,MPV/미니밴
혼다코리아,ODYSSEY,2018-04-24,2018-05-17,2018-11-29,246,"리어 브레이크 캘리퍼 내부 피스톤의 도금 및 열처리 공정이 부적절하여, 피스톤 표면에 잔류했던 수소가 브레이크액 내로 스며들어 수소기포가 발생한다.",MPV/미니밴
BMW,BMW X5 xDrive30d,2013-07-20,2017-05-16,2019-01-23,6071,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
BMW,BMW X5 xDrive40d,2014-01-11,2017-05-15,2019-01-23,1218,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
BMW,BMW X5 M50d,2013-07-18,2017-05-15,2019-01-23,509,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
BMW,BMW X5 xDrive30d,2016-08-10,2015-03-31,2019-02-13,127,운전석 및 조수석 에어백 인플레이터의 제작결함,SUV
BMW,BMW X5 xDrive40d,2017-06-27,2014-01-11,2019-02-13,1267,운전석 및 조수석 에어백 인플레이터의 제작결함,SUV
BMW,BMW X5 M50d,2017-06-26,2014-02-17,2019-02-13,496,운전석 및 조수석 에어백 인플레이터의 제작결함,SUV
BMW,BMW X5 xDrive30d,2010-05-01,2010-05-01,2019-02-13,1,운전석 및 조수석 에어백 인플레이터의 제작결함,SUV
BMW,BMW X5 xDrive35i,2011-08-19,2011-08-19,2019-02-13,1,운전석 및 조수석 에어백 인플레이터의 제작결함,SUV
BMW,BMW X5 xDrive35i,2010-11-06,2010-11-06,2019-02-13,1,운전석 및 조수석 에어백 인플레이터의 제작결함,SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2017-10-10,2018-05-14,2019-03-20,163,"SOS 비상 전화 시스템(eCall)1을 위한 통신 모듈 소프트웨어에 오류가 있습니다. 1 SOS 비상 전화 시스템(eCall): 운전자가 사고 발생시 자동적으로 또는 SOS 버튼을 수동적으로 눌러 메르세데스-벤츠 비상 센터와 비상 전화로 통화가 가능하며, 현재 차량 위치등의 차량 데이터가 또한 메르세데스-벤츠 비상 센터로 전송됩니다. 이를 통해 사고 발생시 구조팀의 신속한 구조가 실행될 수 있습니다. SOS 비상 전화 시스템(eCall)을 위한 통신 모듈 소프트웨어에 오류가 있는 경우 SOS 비상 전화 시스템(eCall)이 작동되지 않을 수 있습니다.",SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2018-07-18,2018-07-24,2019-04-25,5,"공급업체의 생산 공정상의 오류로 인해, 특정 전동식 파워 스티어링 위치 센서에 결함이 있을 수 있습니다. 로터 위치 센서에 장착되는 자석에 사용되는 스틸 볼트(샤프트)가 경화 과정에서, 충분히 경화되지 않았을 수 있습니다. 이는 다량의 볼트가 한꺼번에 오븐에서 경화되어 발생한 문제입니다. 제대로 경화되지 않은 스틸 볼트는, 프레스 인(press-in) 과정에서 모양이 변형되었을 수 있습니다. 이 과정에서 손상된 자석이 장착되었을 수 있으며, 시간이 지남에 따라 위치 감지 오류가 발생할 수 있습니다. 특정 차량의 전동식 파워 스티어링 위치 센서가 사양을 충족하지 못하여 위치를 제대로 감지하지 못 할 수 있습니다. 전동식 파워 스티어링 위치 센서는 전기 모터 내의 로터 위치를 감지하는 역할을 하는 장치입니다.",SUV
혼다코리아,ODYSSEY,2018-07-10,2018-11-14,2019-05-29,630,타이밍 벨트 결함이 발생하여 벨트의 코그(벨트와 기어가 맞물리는 부분)부분이 파손 되는 경우 엔진 작동 타이밍이 불규칙하게 되어 엔진내부손상(밸브와 피스톤이 부딪힐 수 있음)이 발생될 수 있으며 이로 인해 엔진이 정지하여 사고 위험이 증가하고 안전운전에 영향을 끼칠 수 있음,MPV/미니밴
BMW,BMW X5 xDrive40d,2014-01-15,2015-06-17,2019-05-31,102,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
BMW,BMW X5 xDrive30d,2013-07-22,2015-06-16,2019-05-31,411,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
혼다코리아,ODYSSEY,2017-06-19,2019-01-11,2019-06-05,1880,"① 차량의 배터리 연결 케이블이 느슨하게 설치됨 (공장 생산시, 서비스 센터 점검 시, 고객이 직접 배터리 점검시 등의 사유) ② 배터리 성능이 과도하게 약화되어 배터리 점프를 통해서 시동 후 주행하는 경우 ③ 차량 시스템 전압이 6V 미만으로 낮아지는 경우 TCU는 운행이 불가하다고 판단하여 현재 기어 및 주행조건에 관계없이 P(모드)로 변속하는 소프트웨어. - 원인 ① 또는 ② 상태에서 차량 냉각팬 2개가 동시에 작동하게 되면 높은 전류가 소모되어 차량의 시스템 전압이 일시적으로 낮아질 수 있으며, 시스템 전압이 과도하게 낮아지는 경우(6V 미만) TCU는 주행 조건에 관계없이 기어를 P(모드)로 변속함.",MPV/미니밴
BMW,BMW X5 xDrive40d,2014-01-21,2015-06-10,2019-06-28,23,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
BMW,BMW X5 xDrive30d,2013-07-24,2015-06-14,2019-06-28,157,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
재규어랜드로버,재규어 E-PACE P250,2017-08-31,2019-07-12,2019-12-26,780,소프트웨어 설정 값 오류로 인해 UN ECE R13H(승용자동차의 제동성능)에서 정하는 긴급제동신호장치의 해제기준을 만족하지 못하여 안전기준 부적합,SUV
재규어랜드로버,재규어 E-PACE D180,2018-03-07,2019-07-12,2019-12-26,407,소프트웨어 설정 값 오류로 인해 UN ECE R13H(승용자동차의 제동성능)에서 정하는 긴급제동신호장치의 해제기준을 만족하지 못하여 안전기준 부적합,SUV
메르세데스 벤츠,GLK 220 CDI 4MATIC,2009-05-12,2012-05-25,2020-01-31,2476,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.,SUV
BMW,BMW X5 xDrive30d,2014-10-22,2015-10-24,2020-02-21,4,"배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.",SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2018-06-05,2018-10-31,2020-03-12,2915,"공급업체의 과도하게 마모된 생산 장비로 인해 앞좌석 안전벨트 버클과 하우징 사이의 치수에 오차가 생겼을 수 있습니다. 앞좌석 안전벨트를 올바르게 착용한 경우에도 미착용으로 잘못 감지될 수 있습니다. 이러한 경우, 계기반의 경고메세지와 경고음이 계속 발생됩니다.",SUV
메르세데스 벤츠,GLC 350 e 4MATIC,2018-07-24,2018-11-12,2020-03-12,2530,"생산 과정의 오류로 인해, 운전석 햇빛 가리개의 바깥면에 타 국가의 에어백 경고 가 부착되었을 수 있습니다. 에어백 경고 문구 설명이 한국어로 작성되지 않았을 수 있습니다.",SUV
혼다코리아,ODYSSEY,2017-06-19,2019-10-15,2020-03-25,2424,"가. 3열 좌측에 위치한 악세서리 파워 소켓(시거잭) 하네스가 고정되지 않아, 생산 공장에서 3열 좌측 실내 트림 패널 설치 시 움직일 수 있음 나. 악세서리 파워 소켓 하네스가 트림 패널 안쪽 모서리 부위와 차체 돌출부 사이로 배치되는 경우 보호 튜브가 눌려져 손상되거나 내부 하네스의 피복이 노출될 수 있음",MPV/미니밴
메르세데스 벤츠,GLK 220 CDI 4MATIC,2012-02-15,2015-06-03,2020-04-16,4631,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다.,SUV
BMW,BMW X5 M50d,2013-07-26,2017-06-26,2020-06-01,61,"당사는 당사의 EGR 쿨러가 이전 리콜 대상 EGR 쿨러에 비하여 개선되고 최적화 되었음을 입증하였습니다. 당사의 철학과 경영 정책에 따라, 개별 현장 사례의 분석을 계속하였습니다. 그 결과, 지속적인 노력을 통해 상황이 개선되었음에도, 현장에서 적은 수이기는 하나 EGR 쿨러의 누수가 의심되는 사례를 관찰하게 되었습니다. 이에 고객의 이익과 편의를 충실히 보호하고, 동시에 당사에 매우 중요한 한국 시장을 보호하기 위하여, 현장의 적은 수이기는 하나 이러한 의심 사례를 대처하고 해소하기 위한 예방적인 조치를 취하기로 결정하였습니다. 중요한 점으로서, 당사는 귀 기관과 자동차안전연구원에 모든 것을 투명하게 공개하며, 위와 같은 상황을 명확히 전달 드려왔고, 귀 기관 및 자동차안전연구원과의 충분한 논의를 거친 후, 이번 리콜을 시행하기로 결정하였다는 점을 말씀드립니다.",SUV
BMW,BMW X5 M50d,2013-07-18,2018-06-28,2020-10-01,675,"당사는 당사의 EGR 쿨러가 이전 리콜 대상 EGR 쿨러에 비하여 개선되고 최적화 되었음을 입증하였습니다. 당사의 철학과 경영 정책에 따라, 개별 현장 사례의 분석을 계속하였습니다. 그 결과, 지속적인 노력을 통해 상황이 개선되었음에도, 현장에서 적은 수이기는 하나 EGR 쿨러의 누수가 의심되는 사례를 관찰하게 되었습니다. 이에 고객의 이익과 편의를 충실히 보호하고, 동시에 당사에 매우 중요한 한국 시장을 보호하기 위하여, 현장의 적은 수이기는 하나 이러한 의심 사례를 대처하고 해소하기 위한 예방적인 조치를 취하기로 결정하였습니다. 중요한 점으로서, 당사는 귀 기관과 자동차안전연구원에 모든 것을 투명하게 공개하며, 위와 같은 상황을 명확히 전달 드려왔고, 귀 기관 및 자동차안전연구원과의 충분한 논의를 거친 후, 이번 리콜을 시행하기로 결정하였다는 점을 말씀드립니다.",SUV
BMW,BMW X5 xDrive30d,2018-08-20,2018-08-28,2020-06-01,21,"당사는 당사의 EGR 쿨러가 이전 리콜 대상 EGR 쿨러에 비하여 개선되고 최적화 되었음을 입증하였습니다. 당사의 철학과 경영 정책에 따라, 개별 현장 사례의 분석을 계속하였습니다. 그 결과, 지속적인 노력을 통해 상황이 개선되었음에도, 현장에서 적은 수이기는 하나 EGR 쿨러의 누수가 의심되는 사례를 관찰하게 되었습니다. 이에 고객의 이익과 편의를 충실히 보호하고, 동시에 당사에 매우 중요한 한국 시장을 보호하기 위하여, 현장의 적은 수이기는 하나 이러한 의심 사례를 대처하고 해소하기 위한 예방적인 조치를 취하기로 결정하였습니다. 중요한 점으로서, 당사는 귀 기관과 자동차안전연구원에 모든 것을 투명하게 공개하며, 위와 같은 상황을 명확히 전달 드려왔고, 귀 기관 및 자동차안전연구원과의 충분한 논의를 거친 후, 이번 리콜을 시행하기로 결정하였다는 점을 말씀드립니다.",SUV
